Letter,Letter 1 Count,Score 1,Letter 2 Count,Score 2,Letter 3 Count,Score 3,Letter 4 Count,Score 4,Letter 5 Count,Score 5,Total Occurences,Letter Frequency
A,140,0.0608,302,0.1316,306,0.1330,162,0.0705,62,0.0270,972,42.2%
B,173,0.0752,16,0.0070,56,0.0243,24,0.0104,11,0.0048,280,12.2%
C,197,0.0856,40,0.0174,56,0.0243,150,0.0652,31,0.0135,474,20.6%
D,112,0.0487,20,0.0087,75,0.0326,69,0.0300,118,0.0513,394,17.1%
E,72,0.0313,240,0.1046,177,0.0769,318,0.1383,422,0.1835,1229,53.4%
F,134,0.0582,8,0.0035,25,0.0109,35,0.0152,26,0.0113,228,9.9%
G,115,0.0500,11,0.0048,66,0.0287,76,0.0331,41,0.0178,309,13.4%
H,66,0.0287,144,0.0627,9,0.0039,28,0.0122,135,0.0587,382,16.6%
I,34,0.0148,199,0.0867,266,0.1156,158,0.0687,11,0.0048,668,29.0%
J,20,0.0087,2,0.0009,3,0.0013,2,0.0009,0,0.0000,27,1.2%
K,20,0.0087,10,0.0044,12,0.0052,54,0.0235,113,0.0491,209,9.1%
L,87,0.0378,199,0.0867,111,0.0482,161,0.0700,153,0.0665,711,30.9%
M,107,0.0465,38,0.0166,60,0.0261,68,0.0296,42,0.0183,315,13.7%
N,36,0.0156,87,0.0379,138,0.0600,182,0.0792,130,0.0565,573,24.9%
O,41,0.0178,278,0.1211,243,0.1056,133,0.0579,58,0.0252,753,32.7%
P,141,0.0613,61,0.0266,58,0.0252,49,0.0213,56,0.0243,365,15.9%
Q,23,0.0100,5,0.0022,1,0.0004,0,0.0000,0,0.0000,29,1.3%
R,105,0.0456,266,0.1159,160,0.0695,148,0.0644,211,0.0917,890,38.7%
S,362,0.1573,16,0.0070,78,0.0339,169,0.0735,36,0.0157,661,28.7%
T,149,0.0648,76,0.0331,111,0.0482,137,0.0596,253,0.1100,726,31.6%
U,33,0.0143,183,0.0797,164,0.0713,81,0.0352,1,0.0004,462,20.1%
V,43,0.0187,14,0.0061,48,0.0209,44,0.0191,0,0.0000,149,6.5%
W,82,0.0356,42,0.0183,26,0.0113,25,0.0109,17,0.0074,192,8.3%
X,0,0.0000,14,0.0061,12,0.0052,3,0.0013,8,0.0035,37,1.6%
Y,6,0.0026,22,0.0096,29,0.0126,3,0.0013,361,0.1570,421,18.3%
Z,3,0.0013,2,0.0009,11,0.0048,20,0.0087,4,0.0017,40,1.7%
